Fonte; Local; Sexo; Faixa etária; Raça; Previdência; Posição; Atividade;População Ativa; Pessoas ocupadas; Força de trabalho; Taxa de desemprego; Nível da ocupação; Participação; Renda habitual; Escolaridade 
PNADC_012022 ; Ceará ; Homem ;  ; Amarela ; Contribuinte ;  ; Serviços domésticos ;0;0;0; NaN ; NaN ; NaN ; NaN ; NaN 
PNADC_012022 ; Ceará ; Homem ;  ; Amarela ; Contribuinte ;  ;  ; 4163.07899963 ; 4163.07899963 ; 4163.07899963 ;0;100;100; 1629.87469556695 ; 11.1317067724534 
PNADC_012022 ; Ceará ; Homem ;  ; Amarela ; Não contribuinte ;  ; Serviços domésticos ;0;0;0; NaN ; NaN ; NaN ; NaN ; NaN 
PNADC_012022 ; Ceará ; Homem ;  ; Amarela ; Não contribuinte ;  ;  ; 4733.77247974 ; 4733.77247974 ; 4733.77247974 ;0;100;100; 798.170409504393 ; 3.91947823604535 
PNADC_012022 ; Ceará ; Homem ;  ; Amarela ;  ;  ; Serviços domésticos ;0;0;0; NaN ; NaN ; NaN ; NaN ; NaN 
PNADC_012022 ; Ceará ; Homem ;  ; Amarela ;  ;  ;  ; 16387.14719199 ; 8896.85147937 ; 11539.280083 ; 22.8994234009702 ; 54.2916431709283 ; 70.4166499989722 ; 1187.34748582606 ; 8.41874046419139 
PNADC_012022 ; Ceará ; Homem ;  ; Branca ; Contribuinte ;  ; Serviços domésticos ; 734.91196034 ; 734.91196034 ; 734.91196034 ;0;100;100; 1432.94158366371 ; 11.9882475099112 
PNADC_012022 ; Ceará ; Homem ;  ; Branca ; Contribuinte ;  ;  ; 267748.58625121 ; 267748.58625121 ; 267748.58625121 ;0;100;100; 3332.6038852325 ; 12.5467825537262 
PNADC_012022 ; Ceará ; Homem ;  ; Branca ; Não contribuinte ;  ; Serviços domésticos ; 2289.76386282 ; 2289.76386282 ; 2289.76386282 ;0;100;100; 659.236459278036 ; 9.36888070490367 
PNADC_012022 ; Ceará ; Homem ;  ; Branca ; Não contribuinte ;  ;  ; 257254.92405071 ; 257254.92405071 ; 257254.92405071 ;0;100;100; 1236.53197657812 ; 9.75704494861131 
PNADC_012022 ; Ceará ; Homem ;  ; Branca ;  ;  ; Serviços domésticos ; 3024.67582316 ; 3024.67582316 ; 3024.67582316 ;0;100;100; 886.821259820083 ; 10.0053138653693 
PNADC_012022 ; Ceará ; Homem ;  ; Branca ;  ;  ;  ; 928124.04470778 ; 525003.51030192 ; 584803.10531701 ; 10.225594643974 ; 56.5660930018484 ; 63.0091536418643 ; 2326.35932606758 ; 10.4523786686124 
PNADC_012022 ; Ceará ; Homem ;  ; Indígena ; Contribuinte ;  ; Serviços domésticos ;0;0;0; NaN ; NaN ; NaN ; NaN ; NaN 
PNADC_012022 ; Ceará ; Homem ;  ; Indígena ; Contribuinte ;  ;  ; 5470.38086856 ; 5470.38086856 ; 5470.38086856 ;0;100;100; 1469.51273304709 ; 10.4265357338922 
PNADC_012022 ; Ceará ; Homem ;  ; Indígena ; Não contribuinte ;  ; Serviços domésticos ;0;0;0; NaN ; NaN ; NaN ; NaN ; NaN 
PNADC_012022 ; Ceará ; Homem ;  ; Indígena ; Não contribuinte ;  ;  ; 8171.21772262 ; 8171.21772262 ; 8171.21772262 ;0;100;100; 872.81574539144 ; 10.1579433848001 
PNADC_012022 ; Ceará ; Homem ;  ; Indígena ;  ;  ; Serviços domésticos ;0;0;0; NaN ; NaN ; NaN ; NaN ; NaN 
PNADC_012022 ; Ceará ; Homem ;  ; Indígena ;  ;  ;  ; 25026.60711729 ; 13641.59859118 ; 15771.39495427 ; 13.5041723909994 ; 54.5083819282698 ; 63.0185101814065 ; 1112.09560425705 ; 9.84998056728861 
PNADC_012022 ; Ceará ; Homem ;  ; Parda ; Contribuinte ;  ; Serviços domésticos ; 3907.39066264 ; 3907.39066264 ; 3907.39066264 ;0;100;100; 1180.46143267041 ; 7.85366126768249 
