Local; Sexo; Faixa etária; Raça; Previdência; Posição; Atividade; Força de trabalho; Pessoas ocupadas; Taxa de desemprego; Nível da ocupação; Participação; Renda habitual
Ceará ; Homem ; Jovem ; Amarela ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Jovem ; Amarela ; Não contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Jovem ; Amarela ;  ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Jovem ; Branca ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Jovem ; Branca ; Não contribuinte ;  ; Serviços domésticos ; 987.26227217 ; 987.26227217 ; 987.26227217 ; 0 ; 100 ; 100 ; 771.43096479945 
Ceará ; Homem ; Jovem ; Branca ;  ;  ; Serviços domésticos ; 987.26227217 ; 987.26227217 ; 987.26227217 ; 0 ; 100 ; 100 ; 771.43096479945 
Ceará ; Homem ; Jovem ; Indígena ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Jovem ; Indígena ; Não contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Jovem ; Indígena ;  ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Jovem ; Parda ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Jovem ; Parda ; Não contribuinte ;  ; Serviços domésticos ; 2539.12269135 ; 2539.12269135 ; 2539.12269135 ; 0 ; 100 ; 100 ; 639.351223676826 
Ceará ; Homem ; Jovem ; Parda ;  ;  ; Serviços domésticos ; 2539.12269135 ; 2539.12269135 ; 2539.12269135 ; 0 ; 100 ; 100 ; 639.351223676826 
Ceará ; Homem ; Jovem ; Preta ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
