Fonte; Local; Sexo; Faixa etária; Raça; Carteira assinada; Posição na ocupação; Pessoas em idade ativa; Pessoas ocupadas; Força de trabalho; Taxa de desemprego; Nível da ocupação; Participação; Renda habitual principal; Renda habitual total; Escolaridade; Horas trabalhadas principal; Horas trabalhadas total 
PNADC_012021 ;  ;  ;  ;  ;  ; Trabalhador doméstico ; 4712689,1549869 ; 4712689,1549869 ; 4712689,1549869 ; 0 ; 100 ; 100 ; 1095,8470490748 ; 1104,72949703598 ; 8,79048947756556 ; 32,1119360226699 ; 32,3510417000006 ; 
PNADC_012021 ;  ;  ;  ;  ;  ;  ; 171084469,14927 ; 87082018,5037036 ; 102338858,313311 ; 14,9081590913378 ; 50,9000138567371 ; 59,8177372979547 ; 2927,16071609127 ; 3017,75739654443 ; 10,6032346316102 ; 39,2260775407082 ; 39,7727138252349 ; 
PNADC_012021 ;  ;  ;  ;  ; Sim ; Trabalhador doméstico ; 1257834,18306396 ; 1257834,18306396 ; 1257834,18306396 ; 0 ; 100 ; 100 ; 1561,33228370934 ; 1572,68828203944 ; 8,82209195836791 ; 41,3989017829106 ; 41,5168896252836 ; 
PNADC_012021 ;  ;  ;  ;  ; Sim ;  ; 33940763,2509736 ; 33940763,2509736 ; 33940763,2509736 ; 0 ; 100 ; 100 ; 2822,77160541795 ; 2871,8293441053 ; 11,9959775957991 ; 42,320899466401 ; 42,7055773931155 ; 
PNADC_012021 ;  ;  ;  ;  ; Não ; Trabalhador doméstico ; 3454854,97192294 ; 3454854,97192294 ; 3454854,97192294 ; 0 ; 100 ; 100 ; 925,71772383637 ; 933,696118513159 ; 8,77888576326032 ; 28,7307628373672 ; 29,013964765981 ; 
PNADC_012021 ;  ;  ;  ;  ; Não ;  ; 15618556,9067786 ; 15618556,9067786 ; 15618556,9067786 ; 0 ; 100 ; 100 ; 1797,54092967204 ; 1867,2239995048 ; 10,5360503576124 ; 35,07322254162 ; 35,5301818029939 ; 
PNADC_012021 ;  ;  ;  ; Amarela ;  ; Trabalhador doméstico ; 11738,06650843 ; 11738,06650843 ; 11738,06650843 ; 0 ; 100 ; 100 ; 1052,65591861751 ; 1052,65591861751 ; 8,96473888237107 ; 29,0831784102262 ; 29,0831784102262 ; 
PNADC_012021 ;  ;  ;  ; Amarela ;  ;  ; 1298463,1970084 ; 722991,60626396 ; 777932,49159191 ; 7,06242327216885 ; 55,6805620621131 ; 59,9117859777798 ; 4982,87300367342 ; 5098,02187006356 ; 12,336850792039 ; 40,9244612543188 ; 41,2817716738599 ; 
PNADC_012021 ;  ;  ;  ; Amarela ; Sim ; Trabalhador doméstico ; 480,26420611 ; 480,26420611 ; 480,26420611 ; 0 ; 100 ; 100 ; 1462,86351329682 ; 1462,86351329682 ; 7 ; 44 ; 44 ; 
PNADC_012021 ;  ;  ;  ; Amarela ; Sim ;  ; 274294,27701743 ; 274294,27701743 ; 274294,27701743 ; 0 ; 100 ; 100 ; 5819,58697481757 ; 5889,52007954556 ; 13,7685350908161 ; 43,1935826129994 ; 43,3850484429408 ; 
PNADC_012021 ;  ;  ;  ; Amarela ; Não ; Trabalhador doméstico ; 11257,80230232 ; 11257,80230232 ; 11257,80230232 ; 0 ; 100 ; 100 ; 1034,65162218337 ; 1034,65162218337 ; 9,04855575303693 ; 28,4468183742162 ; 28,4468183742162 ; 
PNADC_012021 ;  ;  ;  ; Amarela ; Não ;  ; 88992,93782996 ; 88992,93782996 ; 88992,93782996 ; 0 ; 100 ; 100 ; 2827,03151761669 ; 3105,33269622611 ; 12,6851763579062 ; 36,3108813618189 ; 37,223307383268 ; 
PNADC_012021 ;  ;  ;  ; Branca ;  ; Trabalhador doméstico ; 1592120,32667253 ; 1592120,32667253 ; 1592120,32667253 ; 0 ; 100 ; 100 ; 1188,74617426232 ; 1194,96850034491 ; 8,69402827215459 ; 32,4259523745734 ; 32,7115423064404 ; 
PNADC_012021 ;  ;  ;  ; Branca ;  ;  ; 75344104,694746 ; 39792455,8054215 ; 45248752,4556978 ; 12,0584465961099 ; 52,8142924607563 ; 60,0561286633129 ; 3758,32621153466 ; 3896,15214253161 ; 11,2345614437327 ; 39,8364114217161 ; 40,4953597724164 ; 
PNADC_012021 ;  ;  ;  ; Branca ; Sim ; Trabalhador doméstico ; 442474,86181501 ; 442474,86181501 ; 442474,86181501 ; 0 ; 100 ; 100 ; 1560,08617578044 ; 1562,63569931061 ; 8,64519800899704 ; 40,8790595685507 ; 40,9298577241062 ; 
